,city,state,city_code,date,accesses
0,Abadia de Goiás,GO,5200050,2020-01-01,290
1,Abadia de Goiás,GO,5200050,2020-02-01,278
2,Abadia de Goiás,GO,5200050,2020-03-01,277
3,Abadia de Goiás,GO,5200050,2020-04-01,269
4,Abadia de Goiás,GO,5200050,2020-05-01,247
5,Abadia de Goiás,GO,5200050,2020-06-01,238
6,Abadia de Goiás,GO,5200050,2020-07-01,283
7,Abadia de Goiás,GO,5200050,2020-08-01,279
8,Abadia de Goiás,GO,5200050,2020-09-01,270
9,Abadia de Goiás,GO,5200050,2020-10-01,252
10,Abadia de Goiás,GO,5200050,2020-11-01,221
11,Abadia de Goiás,GO,5200050,2020-12-01,209
12,Abadia de Goiás,GO,5200050,2021-01-01,211
13,Abadia de Goiás,GO,5200050,2021-02-01,205
14,Abadia de Goiás,GO,5200050,2021-03-01,197
15,Abadia dos Dourados,MG,3100104,2020-01-01,66
16,Abadia dos Dourados,MG,3100104,2020-02-01,62
17,Abadia dos Dourados,MG,3100104,2020-03-01,62
18,Abadia dos Dourados,MG,3100104,2020-04-01,59
19,Abadia dos Dourados,MG,3100104,2020-05-01,57
20,Abadia dos Dourados,MG,3100104,2020-06-01,56
21,Abadia dos Dourados,MG,3100104,2020-07-01,55
22,Abadia dos Dourados,MG,3100104,2020-08-01,53
23,Abadia dos Dourados,MG,3100104,2020-09-01,65
24,Abadia dos Dourados,MG,3100104,2020-10-01,62
25,Abadia dos Dourados,MG,3100104,2020-11-01,61
26,Abadia dos Dourados,MG,3100104,2020-12-01,59
27,Abadia dos Dourados,MG,3100104,2021-01-01,58
28,Abadia dos Dourados,MG,3100104,2021-02-01,50
29,Abadia dos Dourados,MG,3100104,2021-03-01,49
30,Abadiânia,GO,5200100,2020-01-01,165
31,Abadiânia,GO,5200100,2020-02-01,166
32,Abadiânia,GO,5200100,2020-03-01,166
33,Abadiânia,GO,5200100,2020-04-01,162
34,Abadiânia,GO,5200100,2020-05-01,165
35,Abadiânia,GO,5200100,2020-06-01,163
36,Abadiânia,GO,5200100,2020-07-01,164
37,Abadiânia,GO,5200100,2020-08-01,167
38,Abadiânia,GO,5200100,2020-09-01,165
39,Abadiânia,GO,5200100,2020-10-01,166
40,Abadiânia,GO,5200100,2020-11-01,159
41,Abadiânia,GO,5200100,2020-12-01,159
42,Abadiânia,GO,5200100,2021-01-01,151
43,Abadiânia,GO,5200100,2021-02-01,191
44,Abadiânia,GO,5200100,2021-03-01,185
45,Abaetetuba,PA,1500107,2020-01-01,2663
46,Abaetetuba,PA,1500107,2020-02-01,2607
47,Abaetetuba,PA,1500107,2020-03-01,2542
48,Abaetetuba,PA,1500107,2020-04-01,2542
49,Abaetetuba,PA,1500107,2020-05-01,2504
50,Abaetetuba,PA,1500107,2020-06-01,2461
51,Abaetetuba,PA,1500107,2020-07-01,2466
52,Abaetetuba,PA,1500107,2020-08-01,2401
53,Abaetetuba,PA,1500107,2020-09-01,2371
54,Abaetetuba,PA,1500107,2020-10-01,2303
55,Abaetetuba,PA,1500107,2020-11-01,2232
56,Abaetetuba,PA,1500107,2020-12-01,2231
57,Abaetetuba,PA,1500107,2021-01-01,2142
58,Abaetetuba,PA,1500107,2021-02-01,2066
59,Abaetetuba,PA,1500107,2021-03-01,1989
60,Abaeté,MG,3100203,2020-01-01,1175
61,Abaeté,MG,3100203,2020-02-01,1178
62,Abaeté,MG,3100203,2020-03-01,1182
63,Abaeté,MG,3100203,2020-04-01,1189
64,Abaeté,MG,3100203,2020-05-01,1209
65,Abaeté,MG,3100203,2020-06-01,1259
66,Abaeté,MG,3100203,2020-07-01,1272
67,Abaeté,MG,3100203,2020-08-01,1305
68,Abaeté,MG,3100203,2020-09-01,1323
69,Abaeté,MG,3100203,2020-10-01,1344
70,Abaeté,MG,3100203,2020-11-01,1313
71,Abaeté,MG,3100203,2020-12-01,1328
72,Abaeté,MG,3100203,2021-01-01,1305
73,Abaeté,MG,3100203,2021-02-01,1310
74,Abaeté,MG,3100203,2021-03-01,1306
75,Abaiara,CE,2300101,2020-01-01,24
76,Abaiara,CE,2300101,2020-02-01,20
77,Abaiara,CE,2300101,2020-03-01,19
78,Abaiara,CE,2300101,2020-04-01,19
79,Abaiara,CE,2300101,2020-05-01,20
80,Abaiara,CE,2300101,2020-06-01,22
81,Abaiara,CE,2300101,2020-07-01,22
82,Abaiara,CE,2300101,2020-08-01,22
83,Abaiara,CE,2300101,2020-09-01,22
84,Abaiara,CE,2300101,2020-10-01,22
85,Abaiara,CE,2300101,2020-11-01,23
86,Abaiara,CE,2300101,2020-12-01,21
87,Abaiara,CE,2300101,2021-01-01,18
88,Abaiara,CE,2300101,2021-02-01,24
89,Abaiara,CE,2300101,2021-03-01,21
90,Abaré,BA,2900207,2020-01-01,25
91,Abaré,BA,2900207,2020-02-01,25
92,Abaré,BA,2900207,2020-03-01,31
93,Abaré,BA,2900207,2020-04-01,31
94,Abaré,BA,2900207,2020-05-01,30
95,Abaré,BA,2900207,2020-06-01,28
96,Abaré,BA,2900207,2020-07-01,28
97,Abaré,BA,2900207,2020-08-01,29
98,Abaré,BA,2900207,2020-09-01,31
99,Abaré,BA,2900207,2020-10-01,33
100,Abaré,BA,2900207,2020-11-01,33
101,Abaré,BA,2900207,2020-12-01,35
102,Abaré,BA,2900207,2021-01-01,34
103,Abaré,BA,2900207,2021-02-01,32
104,Abaré,BA,2900207,2021-03-01,36
105,Abatiá,PR,4100103,2020-01-01,43
106,Abatiá,PR,4100103,2020-02-01,45
107,Abatiá,PR,4100103,2020-03-01,48
108,Abatiá,PR,4100103,2020-04-01,51
109,Abatiá,PR,4100103,2020-05-01,51
110,Abatiá,PR,4100103,2020-06-01,49
111,Abatiá,PR,4100103,2020-07-01,52
112,Abatiá,PR,4100103,2020-08-01,52
113,Abatiá,PR,4100103,2020-09-01,58
114,Abatiá,PR,4100103,2020-10-01,58
115,Abatiá,PR,4100103,2020-11-01,60
116,Abatiá,PR,4100103,2020-12-01,61
117,Abatiá,PR,4100103,2021-01-01,58
118,Abatiá,PR,4100103,2021-02-01,52
119,Abatiá,PR,4100103,2021-03-01,57
120,Abaíra,BA,2900108,2020-01-01,918
121,Abaíra,BA,2900108,2020-02-01,946
122,Abaíra,BA,2900108,2020-03-01,987
123,Abaíra,BA,2900108,2020-04-01,979
124,Abaíra,BA,2900108,2020-05-01,1000
125,Abaíra,BA,2900108,2020-06-01,1030
126,Abaíra,BA,2900108,2020-07-01,1072
127,Abaíra,BA,2900108,2020-08-01,1121
128,Abaíra,BA,2900108,2020-09-01,1197
129,Abaíra,BA,2900108,2020-10-01,1247
130,Abaíra,BA,2900108,2020-11-01,1294
131,Abaíra,BA,2900108,2020-12-01,1346
132,Abaíra,BA,2900108,2021-01-01,1375
133,Abaíra,BA,2900108,2021-02-01,1420
134,Abaíra,BA,2900108,2021-03-01,1440
135,Abdon Batista,SC,4200051,2020-01-01,117
136,Abdon Batista,SC,4200051,2020-02-01,127
137,Abdon Batista,SC,4200051,2020-03-01,130
138,Abdon Batista,SC,4200051,2020-04-01,132
139,Abdon Batista,SC,4200051,2020-05-01,134
140,Abdon Batista,SC,4200051,2020-06-01,139
141,Abdon Batista,SC,4200051,2020-07-01,149
142,Abdon Batista,SC,4200051,2020-08-01,167
143,Abdon Batista,SC,4200051,2020-09-01,176
144,Abdon Batista,SC,4200051,2020-10-01,184
145,Abdon Batista,SC,4200051,2020-11-01,193
146,Abdon Batista,SC,4200051,2020-12-01,197
147,Abdon Batista,SC,4200051,2021-01-01,199
148,Abdon Batista,SC,4200051,2021-02-01,203
149,Abdon Batista,SC,4200051,2021-03-01,209
150,Abel Figueiredo,PA,1500131,2020-01-01,347
151,Abel Figueiredo,PA,1500131,2020-02-01,318
152,Abel Figueiredo,PA,1500131,2020-03-01,283
153,Abel Figueiredo,PA,1500131,2020-04-01,269
154,Abel Figueiredo,PA,1500131,2020-05-01,267
155,Abel Figueiredo,PA,1500131,2020-06-01,254
156,Abel Figueiredo,PA,1500131,2020-07-01,251
157,Abel Figueiredo,PA,1500131,2020-08-01,242
158,Abel Figueiredo,PA,1500131,2020-09-01,227
159,Abel Figueiredo,PA,1500131,2020-10-01,222
160,Abel Figueiredo,PA,1500131,2020-11-01,214
161,Abel Figueiredo,PA,1500131,2020-12-01,216
162,Abel Figueiredo,PA,1500131,2021-01-01,213
163,Abel Figueiredo,PA,1500131,2021-02-01,208
164,Abel Figueiredo,PA,1500131,2021-03-01,206
165,Abelardo Luz,SC,4200101,2020-01-01,589
