,city,state,city_code,date,accesses
0,Abadia de Goiás,GO,5200050,2020-01-01,546
1,Abadia de Goiás,GO,5200050,2020-02-01,529
2,Abadia de Goiás,GO,5200050,2020-03-01,1008
3,Abadia de Goiás,GO,5200050,2020-04-01,537
4,Abadia de Goiás,GO,5200050,2020-05-01,518
5,Abadia de Goiás,GO,5200050,2020-06-01,520
6,Abadia de Goiás,GO,5200050,2020-07-01,477
7,Abadia de Goiás,GO,5200050,2020-08-01,484
8,Abadia de Goiás,GO,5200050,2020-09-01,445
9,Abadia de Goiás,GO,5200050,2020-10-01,424
10,Abadia de Goiás,GO,5200050,2020-11-01,917
11,Abadia de Goiás,GO,5200050,2020-12-01,875
12,Abadia de Goiás,GO,5200050,2021-01-01,423
13,Abadia de Goiás,GO,5200050,2021-02-01,378
14,Abadia de Goiás,GO,5200050,2021-03-01,555
15,Abadia dos Dourados,MG,3100104,2020-01-01,1020
16,Abadia dos Dourados,MG,3100104,2020-02-01,1023
17,Abadia dos Dourados,MG,3100104,2020-03-01,1023
18,Abadia dos Dourados,MG,3100104,2020-04-01,1038
19,Abadia dos Dourados,MG,3100104,2020-05-01,1042
20,Abadia dos Dourados,MG,3100104,2020-06-01,1202
21,Abadia dos Dourados,MG,3100104,2020-07-01,1265
22,Abadia dos Dourados,MG,3100104,2020-08-01,1278
23,Abadia dos Dourados,MG,3100104,2020-09-01,1320
24,Abadia dos Dourados,MG,3100104,2020-10-01,1318
25,Abadia dos Dourados,MG,3100104,2020-11-01,1350
26,Abadia dos Dourados,MG,3100104,2020-12-01,1348
27,Abadia dos Dourados,MG,3100104,2021-01-01,1106
28,Abadia dos Dourados,MG,3100104,2021-02-01,138
29,Abadia dos Dourados,MG,3100104,2021-03-01,1291
30,Abadiânia,GO,5200100,2020-01-01,612
31,Abadiânia,GO,5200100,2020-02-01,621
32,Abadiânia,GO,5200100,2020-03-01,616
33,Abadiânia,GO,5200100,2020-04-01,601
34,Abadiânia,GO,5200100,2020-05-01,659
35,Abadiânia,GO,5200100,2020-06-01,660
36,Abadiânia,GO,5200100,2020-07-01,755
37,Abadiânia,GO,5200100,2020-08-01,655
38,Abadiânia,GO,5200100,2020-09-01,686
39,Abadiânia,GO,5200100,2020-10-01,454
40,Abadiânia,GO,5200100,2020-11-01,667
41,Abadiânia,GO,5200100,2020-12-01,671
42,Abadiânia,GO,5200100,2021-01-01,760
43,Abadiânia,GO,5200100,2021-02-01,731
44,Abadiânia,GO,5200100,2021-03-01,747
45,Abaetetuba,PA,1500107,2020-01-01,5920
46,Abaetetuba,PA,1500107,2020-02-01,5427
47,Abaetetuba,PA,1500107,2020-03-01,6116
48,Abaetetuba,PA,1500107,2020-04-01,6153
49,Abaetetuba,PA,1500107,2020-05-01,6145
50,Abaetetuba,PA,1500107,2020-06-01,6251
51,Abaetetuba,PA,1500107,2020-07-01,6298
52,Abaetetuba,PA,1500107,2020-08-01,6581
