,city,state,city_code,date,accesses
0,Abadia de Goiás,GO,5200050.0,2020-01-01,1603
1,Abadia de Goiás,GO,5200050.0,2020-02-01,1571
2,Abadia de Goiás,GO,5200050.0,2020-03-01,1536
3,Abadia de Goiás,GO,5200050.0,2020-04-01,1512
4,Abadia de Goiás,GO,5200050.0,2020-05-01,1474
5,Abadia de Goiás,GO,5200050.0,2020-06-01,1515
6,Abadia de Goiás,GO,5200050.0,2020-07-01,1495
7,Abadia de Goiás,GO,5200050.0,2020-08-01,1466
8,Abadia de Goiás,GO,5200050.0,2020-09-01,1442
9,Abadia de Goiás,GO,5200050.0,2020-10-01,1435
10,Abadia de Goiás,GO,5200050.0,2020-11-01,1414
11,Abadia de Goiás,GO,5200050.0,2020-12-01,1370
12,Abadia de Goiás,GO,5200050.0,2021-01-01,558
13,Abadia de Goiás,GO,5200050.0,2021-02-01,552
14,Abadia de Goiás,GO,5200050.0,2021-03-01,543
15,Abadia dos Dourados,MG,3100104.0,2020-01-01,633
16,Abadia dos Dourados,MG,3100104.0,2020-02-01,633
17,Abadia dos Dourados,MG,3100104.0,2020-03-01,626
18,Abadia dos Dourados,MG,3100104.0,2020-04-01,623
19,Abadia dos Dourados,MG,3100104.0,2020-05-01,608
20,Abadia dos Dourados,MG,3100104.0,2020-06-01,605
21,Abadia dos Dourados,MG,3100104.0,2020-07-01,599
22,Abadia dos Dourados,MG,3100104.0,2020-08-01,596
23,Abadia dos Dourados,MG,3100104.0,2020-09-01,582
24,Abadia dos Dourados,MG,3100104.0,2020-10-01,579
25,Abadia dos Dourados,MG,3100104.0,2020-11-01,570
26,Abadia dos Dourados,MG,3100104.0,2020-12-01,555
27,Abadia dos Dourados,MG,3100104.0,2021-01-01,213
28,Abadia dos Dourados,MG,3100104.0,2021-02-01,210
29,Abadia dos Dourados,MG,3100104.0,2021-03-01,212
30,Abadiânia,GO,5200100.0,2020-01-01,1683
31,Abadiânia,GO,5200100.0,2020-02-01,1655
32,Abadiânia,GO,5200100.0,2020-03-01,1623
33,Abadiânia,GO,5200100.0,2020-04-01,1600
34,Abadiânia,GO,5200100.0,2020-05-01,1557
35,Abadiânia,GO,5200100.0,2020-06-01,1535
36,Abadiânia,GO,5200100.0,2020-07-01,1503
37,Abadiânia,GO,5200100.0,2020-08-01,1474
38,Abadiânia,GO,5200100.0,2020-09-01,1450
39,Abadiânia,GO,5200100.0,2020-10-01,1427
40,Abadiânia,GO,5200100.0,2020-11-01,1422
41,Abadiânia,GO,5200100.0,2020-12-01,1363
42,Abadiânia,GO,5200100.0,2021-01-01,521
43,Abadiânia,GO,5200100.0,2021-02-01,513
44,Abadiânia,GO,5200100.0,2021-03-01,505
45,Abaetetuba,PA,1500107.0,2020-01-01,2859
46,Abaetetuba,PA,1500107.0,2020-02-01,2825
47,Abaetetuba,PA,1500107.0,2020-03-01,2796
48,Abaetetuba,PA,1500107.0,2020-04-01,2766
49,Abaetetuba,PA,1500107.0,2020-05-01,2689
50,Abaetetuba,PA,1500107.0,2020-06-01,2533
51,Abaetetuba,PA,1500107.0,2020-07-01,2490
52,Abaetetuba,PA,1500107.0,2020-08-01,2455
53,Abaetetuba,PA,1500107.0,2020-09-01,2443
54,Abaetetuba,PA,1500107.0,2020-10-01,2416
55,Abaetetuba,PA,1500107.0,2020-11-01,2405
56,Abaetetuba,PA,1500107.0,2020-12-01,2282
57,Abaetetuba,PA,1500107.0,2021-01-01,3542
58,Abaetetuba,PA,1500107.0,2021-02-01,3742
59,Abaetetuba,PA,1500107.0,2021-03-01,3913
60,Abaeté,MG,3100203.0,2020-01-01,3653
61,Abaeté,MG,3100203.0,2020-02-01,3606
62,Abaeté,MG,3100203.0,2020-03-01,3576
63,Abaeté,MG,3100203.0,2020-04-01,3559
64,Abaeté,MG,3100203.0,2020-05-01,3523
65,Abaeté,MG,3100203.0,2020-06-01,3482
66,Abaeté,MG,3100203.0,2020-07-01,3431
