state,city_name,begin_lockdown,end_lockdown
BA,Caculé,03-01-2021,01-15-2021
BA,Caetité,03-01-2021,01-15-2021
BA,Candiba,03-01-2021,01-15-2021
BA,Carinhanha,03-01-2021,01-15-2021
BA,Feira da Mata,03-01-2021,01-15-2021
BA,Guanambi,03-01-2021,01-15-2021
BA,Ibiassucê,03-01-2021,01-15-2021
BA,Igaporã,03-01-2021,01-15-2021
BA,Iuiú,03-01-2021,01-15-2021
BA,Jacaraci,03-01-2021,01-15-2021
BA,Lagoa Real,03-01-2021,01-15-2021
BA,Licínio de Almeida,03-01-2021,01-15-2021
BA,Malhada,03-01-2021,01-15-2021
BA,Matina,03-01-2021,01-15-2021
BA,Mortugaba,03-01-2021,01-15-2021
BA,Palmas de Monte Alto,03-01-2021,01-15-2021
BA,Pindaí,03-01-2021,01-15-2021
BA,Riacho de Santana,03-01-2021,01-15-2021
BA,Rio do Antônio,03-01-2021,01-15-2021
BA,Sebastião Laranjeiras,03-01-2021,01-15-2021
BA,Tanque Novo,03-01-2021,01-15-2021
BA,Urandi,03-01-2021,01-15-2021
BA,Araci,03-06-2021,03-10-2021
BA,Barrocas,03-06-2021,03-10-2021
BA,Biritinga,03-06-2021,03-10-2021
BA,Conceição do Coité,03-06-2021,03-10-2021
BA,Euclides da Cunha,03-06-2021,03-10-2021
BA,Lamarão,03-06-2021,03-10-2021
BA,Monte Santo,03-06-2021,03-10-2021
BA,Quijingue,03-06-2021,03-10-2021
BA,Retirolândia,03-06-2021,03-10-2021
BA,Santaluz,03-06-2021,03-10-2021
BA,São Domingos,03-06-2021,03-10-2021
BA,Serrinha,03-06-2021,03-10-2021
BA,Teofilândia,03-06-2021,03-10-2021
BA,Tucano,03-06-2021,03-10-2021
BA,Valente,03-06-2021,03-10-2021
BA,Andorinha,03-08-2021,03-10-2021
BA,Antônio Gonçalves,03-08-2021,03-10-2021
BA,Campo Alegre de Lourdes,03-08-2021,03-10-2021
BA,Campo Formoso,03-08-2021,03-10-2021
BA,Cansanção,03-08-2021,03-10-2021
BA,Canudos,03-08-2021,03-10-2021
BA,Casa Nova,03-08-2021,03-10-2021
BA,Curaçá,03-08-2021,03-10-2021
BA,Filadélfia,03-08-2021,03-10-2021
BA,Itiúba,03-08-2021,03-10-2021
BA,Jaguarari,03-08-2021,03-10-2021
BA,Juazeiro,03-08-2021,03-10-2021
BA,Pilão Arcado,03-08-2021,03-10-2021
BA,Pindobaçu,03-08-2021,03-10-2021
BA,Ponto Novo,03-08-2021,03-10-2021
BA,Remanso,03-08-2021,03-10-2021
BA,Senhor do Bonfim,03-08-2021,03-10-2021
BA,Sento Sé,03-08-2021,03-10-2021
BA,Sobradinho,03-08-2021,03-10-2021
BA,Uauá,03-08-2021,03-10-2021
BA,Andorinha,03-22-2021,03-29-2021
BA,Antônio Gonçalves,03-22-2021,03-29-2021
BA,Campo Alegre de Lourdes,03-22-2021,03-29-2021
BA,Campo Formoso,03-22-2021,03-29-2021
BA,Cansanção,03-22-2021,03-29-2021
