,city_code,year,population,area
0,3166600,2018,786,335.659
1,3507209,2018,836,118.951
2,5101209,2018,956,688.326
3,4306924,2018,1088,71.191
4,1715507,2018,1106,209.292
5,5201207,2018,1137,55.839
6,3115607,2018,1171,283.211
7,3555901,2018,1177,146.901
8,4322350,2018,1192,131.154
9,2206308,2018,1250,93.412
10,3532868,2018,1255,183.396
11,4215695,2018,1286,73.335
12,4300661,2018,1324,331.227
13,4112603,2018,1343,128.515
14,5204201,2018,1361,422.751
15,3127909,2018,1389,193.141
16,1704600,2018,1401,659.249
17,4304853,2018,1404,83.155
18,4315073,2018,1415,114.284
19,5220058,2018,1417,287.825
20,4209458,2018,1437,65.348
21,4312351,2018,1466,82.23
22,4322186,2018,1486,135.243
23,3515806,2018,1499,224.711
24,3547205,2018,1507,129.888
25,4305835,2018,1507,112.439
26,4309258,2018,1516,146.925
27,3164803,2018,1520,128.002
28,3123403,2018,1521,152.912
29,4116505,2018,1534,131.272
30,3146602,2018,1535,58.419
31,4211876,2018,1537,86.048
32,3547650,2018,1539,79.192
33,3165800,2018,1545,93.892
34,5212253,2018,1555,458.868
35,5213400,2018,1557,454.26
36,4323606,2018,1565,119.327
37,1720150,2018,1572,1908.678
38,4314787,2018,1572,99.504
39,4205357,2018,1586,58.457
40,4213906,2018,1590,65.433
41,4208955,2018,1595,68.499
42,5106703,2018,1602,686.687
43,3103108,2018,1609,83.802
44,4311270,2018,1611,138.602
45,5107883,2018,1622,1500.392
46,4123600,2018,1624,138.481
47,4305934,2018,1641,105.447
48,4308854,2018,1642,184.715
49,4316733,2018,1644,200.056
50,4217956,2018,1646,56.962
51,4300554,2018,1663,115.335
52,3147501,2018,1664,94.183
53,4312179,2018,1665,114.653
54,4304622,2018,1668,526.85
55,4315131,2018,1668,105.358
56,4312674,2018,1689,154.995
57,3515657,2018,1704,100.504
58,4202099,2018,1704,92.561
59,1706258,2018,1708,986.693
60,4311643,2018,1708,63.502
61,3554755,2018,1709,63.421
62,2414902,2018,1712,37.905
63,4301925,2018,1726,146.995
64,4313466,2018,1727,79.851
65,4304614,2018,1729,82.292
66,4107520,2018,1732,138.56
67,4317251,2018,1734,74.054
68,3555307,2018,1759,147.797
69,3160504,2018,1770,107.269
70,3145406,2018,1775,178.242
71,3118502,2018,1782,89.122
72,4210050,2018,1784,261.208
73,2510659,2018,1786,207.814
74,3513850,2018,1786,88.133
75,2514651,2018,1791,253.787
76,4308250,2018,1796,168.521
77,4312955,2018,1798,93.733
78,3149408,2018,1808,112.959
79,3503356,2018,1811,264.904
80,4116000,2018,1816,90.294
81,3555703,2018,1823,79.056
82,3503950,2018,1825,69.373
83,3536570,2018,1832,256.178
84,4217154,2018,1833,72.755
85,3556958,2018,1834,49.832
86,4322855,2018,1835,113.622
87,4210555,2018,1846,104.184
88,4315313,2018,1846,268.583
89,3166402,2018,1848,114.769
90,5209457,2018,1852,595.866
91,1721257,2018,1860,707.185
92,4306130,2018,1870,166.883
93,5200209,2018,1872,452.858
94,3168200,2018,1879,407.92
95,4312625,2018,1888,111.132
96,1712157,2018,1892,469.214
97,4310462,2018,1899,157.882
98,3123502,2018,1905,312.878
99,2504850,2018,1907,173.942
100,3529658,2018,1910,148.636
101,3532843,2018,1911,124.473
102,3549250,2018,1912,178.396
103,2512606,2018,1929,147.158
104,3153806,2018,1934,153.56
105,4310751,2018,1940,122.93
106,1720853,2018,1946,1018.321
107,4200754,2018,1948,103.433
108,2512788,2018,1951,93.654
109,4207858,2018,1952,77.912
110,4204756,2018,1957,54.811
111,4315172,2018,1957,171.973
112,4206751,2018,1959,146.009
113,4314464,2018,1965,438.11
114,3167004,2018,1970,213.173
115,1709807,2018,1977,815.254
116,4300471,2018,1979,265.327
117,4302378,2018,1987,89.211
118,4320578,2018,1990,129.238
119,4306759,2018,1994,107.976
120,4318465,2018,2000,103.094
121,4319364,2018,2000,79.894
122,4320453,2018,2000,99.74
123,3518008,2018,2002,85.7
124,3100708,2018,2005,492.167
125,5200506,2018,2005,102.16
126,3165602,2018,2007,98.336
127,4314175,2018,2010,1373.985
128,3555208,2018,2012,153.235
129,4317756,2018,2020,203.44
130,4302055,2018,2031,132.351
131,5220280,2018,2035,171.957
132,5209291,2018,2041,205.307
133,4306429,2018,2044,226.072
134,3147808,2018,2048,246.565
135,4322343,2018,2049,125.876
136,4312005,2018,2054,98.727
137,3103306,2018,2066,106.608
