"Tabela 185 - Domicílios particulares permanentes por situação e número de moradores"
"Variável - Domicílios particulares permanentes - percentual do total geral"
"Cód.";"Brasil e Município";"Número de moradores";"Ano x Situação do domicílio"
"Cód.";"Brasil e Município";"Número de moradores";"2010"
"Cód.";"Brasil e Município";"Número de moradores";"Urbana"
"1";"Brasil";"Total";"85,87"
"1100015";"Alta Floresta D'Oeste (RO)";"Total";"59,04"
"1100023";"Ariquemes (RO)";"Total";"84,36"
"1100031";"Cabixi (RO)";"Total";"44,81"
"1100049";"Cacoal (RO)";"Total";"80,05"
"1100056";"Cerejeiras (RO)";"Total";"85,02"
"1100064";"Colorado do Oeste (RO)";"Total";"74,48"
"1100072";"Corumbiara (RO)";"Total";"31,29"
"1100080";"Costa Marques (RO)";"Total";"53,27"
"1100098";"Espigão D'Oeste (RO)";"Total";"72,71"
"1100106";"Guajará-Mirim (RO)";"Total";"88,72"
"1100114";"Jaru (RO)";"Total";"68,78"
"1100122";"Ji-Paraná (RO)";"Total";"90,54"
"1100130";"Machadinho D'Oeste (RO)";"Total";"53,62"
"1100148";"Nova Brasilândia D'Oeste (RO)";"Total";"44,08"
"1100155";"Ouro Preto do Oeste (RO)";"Total";"75,56"
"1100189";"Pimenta Bueno (RO)";"Total";"86,91"
"1100205";"Porto Velho (RO)";"Total";"92,34"
"1100254";"Presidente Médici (RO)";"Total";"60,68"
"1100262";"Rio Crespo (RO)";"Total";"32,20"
"1100288";"Rolim de Moura (RO)";"Total";"82,08"
"1100296";"Santa Luzia D'Oeste (RO)";"Total";"53,35"
"1100304";"Vilhena (RO)";"Total";"94,71"
"1100320";"São Miguel do Guaporé (RO)";"Total";"40,06"
"1100338";"Nova Mamoré (RO)";"Total";"59,26"
"1100346";"Alvorada D'Oeste (RO)";"Total";"53,76"
"1100379";"Alto Alegre dos Parecis (RO)";"Total";"29,55"
"1100403";"Alto Paraíso (RO)";"Total";"47,90"
"1100452";"Buritis (RO)";"Total";"57,40"
"1100502";"Novo Horizonte do Oeste (RO)";"Total";"17,60"
"1100601";"Cacaulândia (RO)";"Total";"36,47"
"1100700";"Campo Novo de Rondônia (RO)";"Total";"27,63"
"1100809";"Candeias do Jamari (RO)";"Total";"62,15"
"1100908";"Castanheiras (RO)";"Total";"24,55"
"1100924";"Chupinguaia (RO)";"Total";"44,78"
"1100940";"Cujubim (RO)";"Total";"69,20"
"1101005";"Governador Jorge Teixeira (RO)";"Total";"24,91"
"1101104";"Itapuã do Oeste (RO)";"Total";"60,64"
"1101203";"Ministro Andreazza (RO)";"Total";"31,28"
"1101302";"Mirante da Serra (RO)";"Total";"55,68"
"1101401";"Monte Negro (RO)";"Total";"53,26"
"1101435";"Nova União (RO)";"Total";"22,95"
"1101450";"Parecis (RO)";"Total";"38,01"
"1101468";"Pimenteiras do Oeste (RO)";"Total";"53,57"
"1101476";"Primavera de Rondônia (RO)";"Total";"37,63"
"1101484";"São Felipe D'Oeste (RO)";"Total";"24,97"
"1101492";"São Francisco do Guaporé (RO)";"Total";"53,83"
"1101500";"Seringueiras (RO)";"Total";"39,08"
"1101559";"Teixeirópolis (RO)";"Total";"37,08"
"1101609";"Theobroma (RO)";"Total";"20,60"
"1101708";"Urupá (RO)";"Total";"41,79"
"1101757";"Vale do Anari (RO)";"Total";"35,96"
"1101807";"Vale do Paraíso (RO)";"Total";"29,40"
"1200013";"Acrelândia (AC)";"Total";"48,42"
"1200054";"Assis Brasil (AC)";"Total";"64,72"
"1200104";"Brasiléia (AC)";"Total";"70,02"
"1200138";"Bujari (AC)";"Total";"44,25"
"1200179";"Capixaba (AC)";"Total";"44,67"
"1200203";"Cruzeiro do Sul (AC)";"Total";"72,78"
"1200252";"Epitaciolândia (AC)";"Total";"71,92"
"1200302";"Feijó (AC)";"Total";"56,15"
"1200328";"Jordão (AC)";"Total";"37,45"
